gold_price,Time,price,Estimated_transaction_volume,market capitalisation,block_size,number_of_transaction,Mempool_count,Mempool_size,Confirmed_Transaction,google_trend,mining_difficulty,hash_rate_via_BTC,Transaction_fee
158.69,2020-04-09,7289.0,963550.0,134518720640.0234,1.06938335714286,286706.0,5127.203125,2917857.0208333335,286706.0,41,13912524048946.0,106308080.8787355,0.594117983768802
161.41,2020-04-13,6841.3,1250000.0,126655463658.31229,0.92931029239766,288113.0,2675.9791666666665,1213144.4427083333,288113.0,43,14715214060657.0,105903459.59372948,0.390110704535921
162.68,2020-04-14,6850.9,999530.0,125651103790.21223,0.92931029239766,288113.0,2675.9791666666665,1213144.4427083333,288113.0,41,14715214060657.0,114921002.25323077,0.390110704535921
161.85,2020-04-15,6629.1,1000000.0,125713883015.64565,0.92931029239766,288113.0,8800.453125,4798043.9375,288113.0,42,14715214060657.0,114921002.25323077,0.390110704535921
161.71,2020-04-16,7085.6,1540000.0,121499498109.80827,0.92931029239766,288113.0,8800.453125,4798043.9375,288113.0,42,14715214060657.0,114921002.25323077,0.390110704535921
158.57,2020-04-17,7035.8,810100.0,129402884477.95892,1.28623061417323,284222.0,5468.328125,4341376.364583333,284222.0,41,14715214060657.0,114921002.25323077,0.634051209521079
159.7,2020-04-20,6833.5,1260000.0,130680700686.31036,1.28623061417323,284222.0,2928.15625,1386725.4479166667,284222.0,40,14715214060657.0,115054068.8189836,0.634051209521079
158.61,2020-04-21,6842.5,892570.0,125724610427.89977,1.06824913422819,310851.0,5076.072916666667,2356978.859375,310851.0,40,14715214060657.0,115054068.8189836,0.515074176133559
161.73,2020-04-22,7112.9,914180.0,125473149029.1152,1.06824913422819,310851.0,5076.072916666667,2356978.859375,310851.0,39,14715214060657.0,112777076.67665616,0.515074176133559
163.34,2020-04-23,7488.5,1340000.0,130398643209.39326,1.06824913422819,310851.0,5076.072916666667,2356978.859375,310851.0,44,15958652328578.0,112777076.67665616,0.515074176133559
162.64,2020-04-24,7503.8,951950.0,135414822709.73112,1.06824913422819,310851.0,12513.447916666666,26725116.828125,310851.0,45,15958652328578.0,112777076.67665616,0.515074176133559
161.56,2020-04-27,7766.0,980500.0,140977260141.33173,1.23961248529412,280805.0,5139.171875,15269161.645833334,280805.0,44,15958652328578.0,111912718.6898519,0.74743033347111
160.84,2020-04-28,7746.9,808090.0,142649802462.8293,1.23961248529412,280805.0,7090.9375,5451509.802083333,280805.0,44,15958652328578.0,111912718.6898519,0.74743033347111
161.73,2020-04-29,8770.9,1830000.0,142370212777.1421,1.19593875172414,331401.0,7090.9375,5451509.802083333,331401.0,63,15958652328578.0,111912718.6898519,1.30320406784667
158.8,2020-04-30,8629.0,2040000.0,160483573440.17792,1.19593875172414,331401.0,37892.5625,33989782.276041664,331401.0,69,15958652328578.0,113216514.46699288,1.30320406784667
159.78,2020-05-01,8821.6,1110000.0,158042623264.3916,1.19593875172414,331401.0,37892.5625,33989782.276041664,331401.0,56,15958652328578.0,113216514.46699288,1.30320406784667
159.78,2020-05-02,8966.3,890340.0,161989355178.82224,1.19593875172414,331401.0,21370.838541666668,41123298.260416664,331401.0,52,15958652328578.0,113216514.46699288,1.30320406784667
159.78,2020-05-03,8885.5,1150000.0,164603123455.99927,1.19645580952381,281752.0,21370.838541666668,41123298.260416664,281752.0,53,15958652328578.0,113216514.46699288,1.82151343648637
160.34,2020-05-04,8874.7,1120000.0,163036842346.68604,1.19645580952381,281752.0,5685.302083333333,4163413.2447916665,281752.0,52,15958652328578.0,116956399.32926574,1.82151343648637
161.02,2020-05-05,9001.0,1050000.0,162341412439.88123,1.19645580952381,281752.0,5685.302083333333,4163413.2447916665,281752.0,49,16079831604277.9,116956399.32926574,1.82151343648637
158.95,2020-05-06,9151.4,1620000.0,165335617639.04947,1.19645580952381,281752.0,5685.302083333333,4163413.2447916665,281752.0,55,16079831604277.9,116956399.32926574,1.82151343648637
161.39,2020-05-07,9979.8,1910000.0,167950864937.1468,1.31399202040816,341986.0,7548.0625,6376645.901041667,341986.0,71,16079831604277.9,116956399.32926574,2.45777629001632
160.42,2020-05-08,9806.2,1420000.0,182927847431.44943,1.31399202040816,341986.0,7548.0625,6376645.901041667,341986.0,78,16079831604277.9,122164632.51837364,2.45777629001632
160.42,2020-05-09,9554.6,1490000.0,180421762956.3486,1.31399202040816,341986.0,27460.744791666668,44795126.166666664,341986.0,65,16104807485529.0,122164632.51837364,2.45777629001632
160.42,2020-05-10,8738.8,2470000.0,175752574354.63544,1.31399202040816,341986.0,27460.744791666668,44795126.166666664,341986.0,87,16104807485529.0,122164632.51837364,2.45777629001632
159.42,2020-05-11,8579.8,2290000.0,160814678353.7077,1.28364698089172,305839.0,6597.880208333333,17192131.911458332,305839.0,100,16104807485529.0,122164632.51837364,2.54708041668451
160.04,2020-05-12,8813.8,1350000.0,158113540964.46692,1.28364698089172,305839.0,6597.880208333333,17192131.911458332,305839.0,76,16104807485529.0,121087434.47597235,2.54708041668451
161.58,2020-05-13,9298.7,1500000.0,161474125336.405,1.28364698089172,305839.0,16654.786458333332,22959189.182291668,305839.0,61,16104807485529.0,121087434.47597235,2.54708041668451
163.01,2020-05-14,9778.4,1770000.0,170593350055.82486,1.28364698089172,305839.0,16654.786458333332,22959189.182291668,305839.0,61,16104807485529.0,121087434.47597235,2.54708041668451
163.93,2020-05-15,9318.0,1560000.0,179398095871.3398,1.272443528,310642.0,68599.94270833333,66939796.255208336,310642.0,54,16104807485529.0,121087434.47597235,4.95503458023075
162.69,2020-05-18,9730.7,1180000.0,177224284369.1316,1.272443528,310642.0,31877.197916666668,58583718.9375,310642.0,51,16104807485529.0,110593624.25691998,4.95503458023075
164.26,2020-05-19,9773.3,1160000.0,178446153576.46417,1.33328306086957,274897.0,31877.197916666668,58583718.9375,274897.0,48,16104807485529.0,110593624.25691998,6.42914180341742
164.65,2020-05-20,9512.3,1150000.0,179127815802.66245,1.33328306086957,274897.0,51994.276041666664,77388344.47916667,274897.0,48,16104807485529.0,94810873.3288382,6.42914180341742
162.25,2020-05-21,9059.0,1410000.0,175227227252.9058,1.33328306086957,274897.0,51994.276041666664,77388344.47916667,274897.0,49,15138043247083.0,94810873.3288382,6.42914180341742
163.21,2020-05-22,9169.7,914590.0,166569335290.8396,1.33328306086957,274897.0,44608.520833333336,81543020.61458333,274897.0,47,15138043247083.0,94810873.3288382,6.42914180341742
160.89,2020-05-26,8842.5,784920.0,163333743988.58344,1.27885055462185,269230.0,17696.541666666668,58566741.109375,269230.0,45,15138043247083.0,90689768.70048092,3.69219349697898
161.18,2020-05-27,9199.1,810890.0,162547226896.53772,1.34352728985507,292927.0,17696.541666666668,58566741.109375,292927.0,42,15138043247083.0,90689768.70048092,2.36918688128054
161.72,2020-05-28,9572.2,948860.0,168615778509.82266,1.34352728985507,292927.0,16004.453125,38604968.328125,292927.0,44,15138043247083.0,92882000.95950736,2.36918688128054
