Category: All categories

Day,bitcoin: (Worldwide)
2022-08-01,90
2022-08-02,86
2022-08-03,86
2022-08-04,83
2022-08-05,79
2022-08-06,70
2022-08-07,69
2022-08-08,85
2022-08-09,84
2022-08-10,81
2022-08-11,88
2022-08-12,79
2022-08-13,70
2022-08-14,74
2022-08-15,83
2022-08-16,78
2022-08-17,78
2022-08-18,72
2022-08-19,100
2022-08-20,80
2022-08-21,74
2022-08-22,81
2022-08-23,74
2022-08-24,72
2022-08-25,72
2022-08-26,76
2022-08-27,79
2022-08-28,75
2022-08-29,85
2022-08-30,82
2022-08-31,77
2022-09-01,79
2022-09-02,71
2022-09-03,63
2022-09-04,64
2022-09-05,70
2022-09-06,75
2022-09-07,86
2022-09-08,75
2022-09-09,82
2022-09-10,72
2022-09-11,67
2022-09-12,75
2022-09-13,83
2022-09-14,83
2022-09-15,78
2022-09-16,77
2022-09-17,67
2022-09-18,64
2022-09-19,93
2022-09-20,83
2022-09-21,88
2022-09-22,81
2022-09-23,81
2022-09-24,69
2022-09-25,67
2022-09-26,77
2022-09-27,82
2022-09-28,75
2022-09-29,72
2022-09-30,70
2022-10-01,58
2022-10-02,59
2022-10-03,68
2022-10-04,69
2022-10-05,67
2022-10-06,61
2022-10-07,64
2022-10-08,55
2022-10-09,56
2022-10-10,64
2022-10-11,65
2022-10-12,61
2022-10-13,70
2022-10-14,66
2022-10-15,55
2022-10-16,52
2022-10-17,60
2022-10-18,63
2022-10-19,61
2022-10-20,60
2022-10-21,60
2022-10-22,51
2022-10-23,48
2022-10-24,59
2022-10-25,63
2022-10-26,69
2022-10-27,65
2022-10-28,64
2022-10-29,60
2022-10-30,56
2022-10-31,69
