Category: All categories

Day,bitcoin: (Worldwide)
2022-05-01,27
2022-05-02,28
2022-05-03,27
2022-05-04,27
2022-05-05,33
2022-05-06,35
2022-05-07,28
2022-05-08,33
2022-05-09,58
2022-05-10,58
2022-05-11,68
2022-05-12,100
2022-05-13,77
2022-05-14,57
2022-05-15,48
2022-05-16,49
2022-05-17,46
2022-05-18,44
2022-05-19,43
2022-05-20,39
2022-05-21,35
2022-05-22,34
2022-05-23,36
2022-05-24,36
2022-05-25,34
2022-05-26,35
2022-05-27,36
2022-05-28,31
2022-05-29,28
2022-05-30,34
2022-05-31,31
2022-06-01,31
2022-06-02,31
2022-06-03,30
2022-06-04,26
2022-06-05,27
2022-06-06,30
2022-06-07,34
2022-06-08,29
2022-06-09,28
2022-06-10,29
2022-06-11,28
2022-06-12,37
2022-06-13,97
2022-06-14,96
2022-06-15,91
2022-06-16,74
2022-06-17,64
2022-06-18,94
2022-06-19,97
2022-06-20,74
2022-06-21,61
2022-06-22,56
2022-06-23,50
2022-06-24,46
2022-06-25,39
2022-06-26,38
2022-06-27,43
2022-06-28,40
2022-06-29,40
2022-06-30,52
2022-07-01,45
2022-07-02,40
2022-07-03,40
2022-07-04,42
2022-07-05,48
2022-07-06,40
2022-07-07,39
2022-07-08,39
2022-07-09,31
2022-07-10,32
2022-07-11,38
2022-07-12,37
2022-07-13,37
2022-07-14,37
2022-07-15,33
2022-07-16,31
2022-07-17,29
2022-07-18,38
2022-07-19,38
2022-07-20,41
2022-07-21,43
2022-07-22,37
2022-07-23,31
2022-07-24,29
2022-07-25,32
2022-07-26,33
2022-07-27,32
2022-07-28,34
2022-07-29,31
2022-07-30,29
2022-07-31,27
