Category: All categories

Day,bitcoin: (Worldwide)
2025-02-01,49
2025-02-02,63
2025-02-03,91
2025-02-04,68
2025-02-05,60
2025-02-06,57
2025-02-07,55
2025-02-08,46
2025-02-09,48
2025-02-10,47
2025-02-11,47
2025-02-12,48
2025-02-13,46
2025-02-14,47
2025-02-15,39
2025-02-16,41
2025-02-17,43
2025-02-18,50
2025-02-19,43
2025-02-20,45
2025-02-21,49
2025-02-22,40
2025-02-23,36
2025-02-24,45
2025-02-25,90
2025-02-26,76
2025-02-27,70
2025-02-28,100
2025-03-01,60
2025-03-02,73
2025-03-03,88
2025-03-04,78
2025-03-05,65
2025-03-06,61
2025-03-07,81
2025-03-08,55
2025-03-09,56
2025-03-10,83
2025-03-11,77
2025-03-12,61
2025-03-13,59
2025-03-14,56
2025-03-15,44
2025-03-16,44
2025-03-17,49
2025-03-18,50
2025-03-19,49
2025-03-20,45
2025-03-21,40
2025-03-22,35
2025-03-23,37
2025-03-24,47
2025-03-25,44
2025-03-26,44
2025-03-27,41
2025-03-28,41
2025-03-29,37
2025-03-30,38
2025-03-31,47
2025-04-01,47
2025-04-02,46
2025-04-03,60
2025-04-04,59
2025-04-05,41
2025-04-06,50
2025-04-07,87
2025-04-08,64
2025-04-09,71
2025-04-10,56
2025-04-11,52
2025-04-12,42
2025-04-13,39
2025-04-14,43
2025-04-15,40
2025-04-16,40
2025-04-17,38
2025-04-18,34
2025-04-19,31
2025-04-20,33
2025-04-21,45
2025-04-22,52
2025-04-23,53
2025-04-24,43
2025-04-25,42
2025-04-26,33
2025-04-27,35
2025-04-28,41
2025-04-29,40
