Category: All categories

Day,bitcoin: (Worldwide)
2021-02-01,37
2021-02-02,35
2021-02-03,35
2021-02-04,37
2021-02-05,34
2021-02-06,43
2021-02-07,37
2021-02-08,83
2021-02-09,100
2021-02-10,63
2021-02-11,61
2021-02-12,56
2021-02-13,47
2021-02-14,54
2021-02-15,52
2021-02-16,60
2021-02-17,69
2021-02-18,62
2021-02-19,67
2021-02-20,75
2021-02-21,67
2021-02-22,77
2021-02-23,96
2021-02-24,73
2021-02-25,57
2021-02-26,60
2021-02-27,49
2021-02-28,51
2021-03-01,51
2021-03-02,47
2021-03-03,44
2021-03-04,41
2021-03-05,41
2021-03-06,37
2021-03-07,39
2021-03-08,40
2021-03-09,49
2021-03-10,47
2021-03-11,43
2021-03-12,43
2021-03-13,56
2021-03-14,52
2021-03-15,48
2021-03-16,46
2021-03-17,42
2021-03-18,43
2021-03-19,38
2021-03-20,38
2021-03-21,37
2021-03-22,38
2021-03-23,39
2021-03-24,42
2021-03-25,46
2021-03-26,38
2021-03-27,36
2021-03-28,34
2021-03-29,38
2021-03-30,39
2021-03-31,39
2021-04-01,43
2021-04-02,39
2021-04-03,37
2021-04-04,34
2021-04-05,38
2021-04-06,36
2021-04-07,35
2021-04-08,35
2021-04-09,31
2021-04-10,36
2021-04-11,35
2021-04-12,37
2021-04-13,47
2021-04-14,53
2021-04-15,47
2021-04-16,48
2021-04-17,40
2021-04-18,76
2021-04-19,59
2021-04-20,50
2021-04-21,42
2021-04-22,51
2021-04-23,77
2021-04-24,52
2021-04-25,47
2021-04-26,50
2021-04-27,46
2021-04-28,41
2021-04-29,36
2021-04-30,38
