Category: All categories

Day,bitcoin: (Worldwide)
2021-08-01,51
2021-08-02,53
2021-08-03,49
2021-08-04,47
2021-08-05,49
2021-08-06,53
2021-08-07,59
2021-08-08,57
2021-08-09,63
2021-08-10,62
2021-08-11,63
2021-08-12,59
2021-08-13,53
2021-08-14,55
2021-08-15,54
2021-08-16,53
2021-08-17,51
2021-08-18,51
2021-08-19,48
2021-08-20,54
2021-08-21,54
2021-08-22,50
2021-08-23,65
2021-08-24,57
2021-08-25,53
2021-08-26,51
2021-08-27,47
2021-08-28,44
2021-08-29,43
2021-08-30,46
2021-08-31,43
2021-09-01,46
2021-09-02,49
2021-09-03,48
2021-09-04,44
2021-09-05,43
2021-09-06,53
2021-09-07,89
2021-09-08,80
2021-09-09,57
2021-09-10,52
2021-09-11,46
2021-09-12,43
2021-09-13,49
2021-09-14,45
2021-09-15,46
2021-09-16,44
2021-09-17,45
2021-09-18,41
2021-09-19,38
2021-09-20,56
2021-09-21,60
2021-09-22,53
2021-09-23,48
2021-09-24,72
2021-09-25,53
2021-09-26,43
2021-09-27,45
2021-09-28,46
2021-09-29,43
2021-09-30,43
2021-10-01,53
2021-10-02,46
2021-10-03,43
2021-10-04,49
2021-10-05,57
2021-10-06,70
2021-10-07,62
2021-10-08,53
2021-10-09,49
2021-10-10,47
2021-10-11,58
2021-10-12,58
2021-10-13,52
2021-10-14,54
2021-10-15,77
2021-10-16,68
2021-10-17,57
2021-10-18,65
2021-10-19,78
2021-10-20,100
2021-10-21,90
2021-10-22,74
2021-10-23,58
2021-10-24,53
2021-10-25,62
2021-10-26,66
2021-10-27,70
2021-10-28,62
2021-10-29,59
2021-10-30,48
2021-10-31,47
