Category: All categories

Day,bitcoin: (Worldwide)
2023-05-01,84
2023-05-02,79
2023-05-03,80
2023-05-04,78
2023-05-05,77
2023-05-06,71
2023-05-07,75
2023-05-08,89
2023-05-09,83
2023-05-10,82
2023-05-11,87
2023-05-12,83
2023-05-13,66
2023-05-14,65
2023-05-15,71
2023-05-16,70
2023-05-17,69
2023-05-18,72
2023-05-19,71
2023-05-20,63
2023-05-21,66
2023-05-22,72
2023-05-23,72
2023-05-24,68
2023-05-25,70
2023-05-26,70
2023-05-27,61
2023-05-28,65
2023-05-29,71
2023-05-30,70
2023-05-31,70
2023-06-01,70
2023-06-02,68
2023-06-03,65
2023-06-04,61
2023-06-05,84
2023-06-06,84
2023-06-07,76
2023-06-08,72
2023-06-09,70
2023-06-10,76
2023-06-11,79
2023-06-12,71
2023-06-13,71
2023-06-14,73
2023-06-15,80
2023-06-16,74
2023-06-17,68
2023-06-18,65
2023-06-19,69
2023-06-20,76
2023-06-21,100
2023-06-22,97
2023-06-23,93
2023-06-24,85
2023-06-25,86
2023-06-26,86
2023-06-27,79
2023-06-28,76
2023-06-29,84
2023-06-30,88
2023-07-01,74
2023-07-02,75
2023-07-03,82
2023-07-04,82
2023-07-05,78
2023-07-06,84
2023-07-07,77
2023-07-08,69
2023-07-09,71
2023-07-10,79
2023-07-11,80
2023-07-12,79
2023-07-13,83
2023-07-14,91
2023-07-15,75
2023-07-16,74
2023-07-17,76
2023-07-18,77
2023-07-19,78
2023-07-20,78
2023-07-21,74
2023-07-22,64
2023-07-23,64
2023-07-24,74
2023-07-25,76
2023-07-26,74
2023-07-27,75
2023-07-28,71
2023-07-29,68
2023-07-30,65
2023-07-31,71
