Category: All categories

Day,bitcoin: (Worldwide)
2024-02-01,25
2024-02-02,26
2024-02-03,23
2024-02-04,22
2024-02-05,25
2024-02-06,24
2024-02-07,25
2024-02-08,30
2024-02-09,36
2024-02-10,29
2024-02-11,31
2024-02-12,40
2024-02-13,43
2024-02-14,48
2024-02-15,46
2024-02-16,39
2024-02-17,33
2024-02-18,32
2024-02-19,35
2024-02-20,35
2024-02-21,31
2024-02-22,32
2024-02-23,29
2024-02-24,27
2024-02-25,28
2024-02-26,37
2024-02-27,58
2024-02-28,95
2024-02-29,85
2024-03-01,61
2024-03-02,49
2024-03-03,49
2024-03-04,86
2024-03-05,100
2024-03-06,77
2024-03-07,61
2024-03-08,59
2024-03-09,55
2024-03-10,52
2024-03-11,81
2024-03-12,71
2024-03-13,70
2024-03-14,62
2024-03-15,69
2024-03-16,52
2024-03-17,51
2024-03-18,50
2024-03-19,64
2024-03-20,60
2024-03-21,52
2024-03-22,46
2024-03-23,40
2024-03-24,40
2024-03-25,52
2024-03-26,50
2024-03-27,45
2024-03-28,46
2024-03-29,46
2024-03-30,38
2024-03-31,38
2024-04-01,43
2024-04-02,54
2024-04-03,42
2024-04-04,42
2024-04-05,40
2024-04-06,34
2024-04-07,35
2024-04-08,46
2024-04-09,40
2024-04-10,41
2024-04-11,42
2024-04-12,45
2024-04-13,50
2024-04-14,56
2024-04-15,53
2024-04-16,48
2024-04-17,50
2024-04-18,56
2024-04-19,78
2024-04-20,72
2024-04-21,43
2024-04-22,43
2024-04-23,36
2024-04-24,37
2024-04-25,35
2024-04-26,32
2024-04-27,31
2024-04-28,29
2024-04-29,32
2024-04-30,38
