Category: All categories

Day,bitcoin: (Worldwide)
2022-02-01,62
2022-02-02,58
2022-02-03,57
2022-02-04,60
2022-02-05,62
2022-02-06,52
2022-02-07,65
2022-02-08,57
2022-02-09,56
2022-02-10,46
2022-02-11,52
2022-02-12,45
2022-02-13,46
2022-02-14,48
2022-02-15,51
2022-02-16,46
2022-02-17,49
2022-02-18,51
2022-02-19,43
2022-02-20,50
2022-02-21,54
2022-02-22,58
2022-02-23,49
2022-02-24,100
2022-02-25,70
2022-02-26,51
2022-02-27,51
2022-02-28,65
2022-03-01,68
2022-03-02,59
2022-03-03,53
2022-03-04,54
2022-03-05,47
2022-03-06,44
2022-03-07,51
2022-03-08,49
2022-03-09,55
2022-03-10,50
2022-03-11,48
2022-03-12,42
2022-03-13,41
2022-03-14,43
2022-03-15,43
2022-03-16,44
2022-03-17,43
2022-03-18,43
2022-03-19,39
2022-03-20,36
2022-03-21,39
2022-03-22,44
2022-03-23,41
2022-03-24,45
2022-03-25,44
2022-03-26,38
2022-03-27,42
2022-03-28,54
2022-03-29,47
2022-03-30,42
2022-03-31,43
2022-04-01,42
2022-04-02,37
2022-04-03,37
2022-04-04,41
2022-04-05,37
2022-04-06,44
2022-04-07,41
2022-04-08,39
2022-04-09,35
2022-04-10,34
2022-04-11,45
2022-04-12,42
2022-04-13,39
2022-04-14,38
2022-04-15,35
2022-04-16,31
2022-04-17,31
2022-04-18,38
2022-04-19,36
2022-04-20,34
2022-04-21,35
2022-04-22,35
2022-04-23,32
2022-04-24,32
2022-04-25,39
2022-04-26,38
2022-04-27,36
2022-04-28,36
2022-04-29,36
2022-04-30,32
