Category: All categories

Day,bitcoin: (Worldwide)
2022-11-01,34
2022-11-02,35
2022-11-03,33
2022-11-04,36
2022-11-05,35
2022-11-06,32
2022-11-07,35
2022-11-08,53
2022-11-09,93
2022-11-10,100
2022-11-11,82
2022-11-12,79
2022-11-13,68
2022-11-14,80
2022-11-15,62
2022-11-16,63
2022-11-17,59
2022-11-18,57
2022-11-19,46
2022-11-20,44
2022-11-21,56
2022-11-22,57
2022-11-23,49
2022-11-24,41
2022-11-25,42
2022-11-26,37
2022-11-27,38
2022-11-28,44
2022-11-29,44
2022-11-30,44
2022-12-01,43
2022-12-02,40
2022-12-03,34
2022-12-04,34
2022-12-05,39
2022-12-06,39
2022-12-07,39
2022-12-08,41
2022-12-09,36
2022-12-10,31
2022-12-11,34
2022-12-12,37
2022-12-13,44
2022-12-14,41
2022-12-15,40
2022-12-16,42
2022-12-17,36
2022-12-18,33
2022-12-19,38
2022-12-20,37
2022-12-21,38
2022-12-22,39
2022-12-23,36
2022-12-24,33
2022-12-25,33
2022-12-26,35
2022-12-27,37
2022-12-28,37
2022-12-29,35
2022-12-30,36
2022-12-31,32
2023-01-01,34
2023-01-02,36
2023-01-03,36
2023-01-04,37
2023-01-05,37
2023-01-06,35
2023-01-07,32
2023-01-08,31
2023-01-09,36
2023-01-10,36
2023-01-11,36
2023-01-12,46
2023-01-13,46
2023-01-14,59
2023-01-15,47
2023-01-16,52
2023-01-17,50
2023-01-18,45
2023-01-19,43
2023-01-20,45
2023-01-21,52
2023-01-22,46
2023-01-23,48
2023-01-24,45
2023-01-25,44
2023-01-26,44
2023-01-27,41
2023-01-28,37
2023-01-29,41
2023-01-30,44
2023-01-31,42
