Category: All categories

Day,bitcoin: (Worldwide)
2024-05-01,100
2024-05-02,79
2024-05-03,76
2024-05-04,66
2024-05-05,65
2024-05-06,69
2024-05-07,64
2024-05-08,63
2024-05-09,58
2024-05-10,61
2024-05-11,55
2024-05-12,52
2024-05-13,60
2024-05-14,61
2024-05-15,65
2024-05-16,66
2024-05-17,68
2024-05-18,57
2024-05-19,58
2024-05-20,72
2024-05-21,85
2024-05-22,72
2024-05-23,69
2024-05-24,65
2024-05-25,54
2024-05-26,54
2024-05-27,60
2024-05-28,60
2024-05-29,61
2024-05-30,58
2024-05-31,56
2024-06-01,46
2024-06-02,50
2024-06-03,59
2024-06-04,59
2024-06-05,71
2024-06-06,63
2024-06-07,67
2024-06-08,56
2024-06-09,52
2024-06-10,58
2024-06-11,64
2024-06-12,63
2024-06-13,56
2024-06-14,58
2024-06-15,51
2024-06-16,50
2024-06-17,57
2024-06-18,61
2024-06-19,55
2024-06-20,55
2024-06-21,54
2024-06-22,47
2024-06-23,47
2024-06-24,74
2024-06-25,65
2024-06-26,55
2024-06-27,52
2024-06-28,53
2024-06-29,44
2024-06-30,47
2024-07-01,53
2024-07-02,50
2024-07-03,54
2024-07-04,72
2024-07-05,89
2024-07-06,58
2024-07-07,60
2024-07-08,68
2024-07-09,60
2024-07-10,59
2024-07-11,67
2024-07-12,66
2024-07-13,49
2024-07-14,66
2024-07-15,69
2024-07-16,78
2024-07-17,66
2024-07-18,60
2024-07-19,70
2024-07-20,60
2024-07-21,65
2024-07-22,70
2024-07-23,70
2024-07-24,64
2024-07-25,65
2024-07-26,66
2024-07-27,79
2024-07-28,69
2024-07-29,79
2024-07-30,66
2024-07-31,59
