Category: All categories

Day,bitcoin: (Worldwide)
2021-11-01,21
2021-11-02,23
2021-11-03,20
2021-11-04,20
2021-11-05,19
2021-11-06,17
2021-11-07,18
2021-11-08,25
2021-11-09,29
2021-11-10,27
2021-11-11,23
2021-11-12,22
2021-11-13,20
2021-11-14,20
2021-11-15,21
2021-11-16,27
2021-11-17,25
2021-11-18,25
2021-11-19,25
2021-11-20,20
2021-11-21,19
2021-11-22,22
2021-11-23,25
2021-11-24,23
2021-11-25,20
2021-11-26,26
2021-11-27,20
2021-11-28,20
2021-11-29,22
2021-11-30,22
2021-12-01,20
2021-12-02,18
2021-12-03,20
2021-12-04,44
2021-12-05,32
2021-12-06,30
2021-12-07,25
2021-12-08,23
2021-12-09,23
2021-12-10,22
2021-12-11,20
2021-12-12,19
2021-12-13,23
2021-12-14,25
2021-12-15,24
2021-12-16,21
2021-12-17,20
2021-12-18,18
2021-12-19,18
2021-12-20,21
2021-12-21,20
2021-12-22,19
2021-12-23,20
2021-12-24,19
2021-12-25,18
2021-12-26,18
2021-12-27,19
2021-12-28,20
2021-12-29,21
2021-12-30,20
2021-12-31,19
2022-01-01,19
2022-01-02,19
2022-01-03,20
2022-01-04,43
2022-01-05,18
2022-01-06,27
2022-01-07,33
2022-01-08,29
2022-01-09,26
2022-01-10,28
2022-01-11,27
2022-01-12,24
2022-01-13,48
2022-01-14,17
2022-01-15,19
2022-01-16,16
2022-01-17,17
2022-01-18,19
2022-01-19,18
2022-01-20,19
2022-01-21,38
2022-01-22,50
2022-01-23,36
2022-01-24,100
2022-01-25,31
2022-01-26,30
2022-01-27,26
2022-01-28,27
2022-01-29,25
2022-01-30,23
2022-01-31,25
