Category: All categories

Day,bitcoin: (Worldwide)
2023-02-01,63
2023-02-02,72
2023-02-03,62
2023-02-04,56
2023-02-05,57
2023-02-06,56
2023-02-07,56
2023-02-08,57
2023-02-09,60
2023-02-10,58
2023-02-11,53
2023-02-12,48
2023-02-13,56
2023-02-14,54
2023-02-15,61
2023-02-16,76
2023-02-17,65
2023-02-18,58
2023-02-19,56
2023-02-20,62
2023-02-21,61
2023-02-22,63
2023-02-23,56
2023-02-24,56
2023-02-25,52
2023-02-26,50
2023-02-27,55
2023-02-28,53
2023-03-01,50
2023-03-02,54
2023-03-03,64
2023-03-04,52
2023-03-05,48
2023-03-06,53
2023-03-07,53
2023-03-08,53
2023-03-09,60
2023-03-10,75
2023-03-11,62
2023-03-12,61
2023-03-13,89
2023-03-14,96
2023-03-15,81
2023-03-16,72
2023-03-17,82
2023-03-18,81
2023-03-19,83
2023-03-20,100
2023-03-21,88
2023-03-22,84
2023-03-23,82
2023-03-24,80
2023-03-25,66
2023-03-26,66
2023-03-27,74
2023-03-28,74
2023-03-29,72
2023-03-30,74
2023-03-31,68
2023-04-01,62
2023-04-02,63
2023-04-03,66
2023-04-04,64
2023-04-05,66
2023-04-06,63
2023-04-07,61
2023-04-08,56
2023-04-09,54
2023-04-10,73
2023-04-11,92
2023-04-12,78
2023-04-13,69
2023-04-14,76
2023-04-15,67
2023-04-16,64
2023-04-17,68
2023-04-18,68
2023-04-19,68
2023-04-20,67
2023-04-21,66
2023-04-22,61
2023-04-23,59
2023-04-24,66
2023-04-25,61
2023-04-26,71
2023-04-27,60
2023-04-28,62
2023-04-29,55
2023-04-30,54
