Time,hash_rate_via_BTC
2020-04-02,104989801.55573513
2020-04-03,104989801.55573513
2020-04-04,104989801.55573513
2020-04-05,104989801.55573513
2020-04-06,106308080.8787355
2020-04-07,106308080.8787355
2020-04-08,106308080.8787355
2020-04-09,106308080.8787355
2020-04-10,105903459.59372948
2020-04-11,105903459.59372948
2020-04-12,105903459.59372948
2020-04-13,105903459.59372948
2020-04-14,114921002.25323077
2020-04-15,114921002.25323077
2020-04-16,114921002.25323077
2020-04-17,114921002.25323077
2020-04-18,115054068.8189836
2020-04-19,115054068.8189836
2020-04-20,115054068.8189836
2020-04-21,115054068.8189836
2020-04-22,112777076.67665616
2020-04-23,112777076.67665616
2020-04-24,112777076.67665616
2020-04-25,112777076.67665616
2020-04-26,111912718.6898519
2020-04-27,111912718.6898519
2020-04-28,111912718.6898519
2020-04-29,111912718.6898519
2020-04-30,113216514.46699288
2020-05-01,113216514.46699288
2020-05-02,113216514.46699288
2020-05-03,113216514.46699288
2020-05-04,116956399.32926574
2020-05-05,116956399.32926574
2020-05-06,116956399.32926574
2020-05-07,116956399.32926574
2020-05-08,122164632.51837364
2020-05-09,122164632.51837364
2020-05-10,122164632.51837364
2020-05-11,122164632.51837364
2020-05-12,121087434.47597235
2020-05-13,121087434.47597235
2020-05-14,121087434.47597235
2020-05-15,121087434.47597235
2020-05-16,110593624.25691998
2020-05-17,110593624.25691998
2020-05-18,110593624.25691998
2020-05-19,110593624.25691998
2020-05-20,94810873.3288382
2020-05-21,94810873.3288382
2020-05-22,94810873.3288382
2020-05-23,94810873.3288382
2020-05-24,90689768.70048092
2020-05-25,90689768.70048092
2020-05-26,90689768.70048092
2020-05-27,90689768.70048092
2020-05-28,92882000.95950736
2020-05-29,92882000.95950736
2020-05-30,92882000.95950736
2020-05-31,92882000.95950736
2020-06-01,102234702.44501317
2020-06-02,102234702.44501317
2020-06-03,102234702.44501317
2020-06-04,102234702.44501317
2020-06-05,105288528.1766404
2020-06-06,105288528.1766404
2020-06-07,105288528.1766404
2020-06-08,105288528.1766404
2020-06-09,112208528.24468684
2020-06-10,112208528.24468684
2020-06-11,112208528.24468684
2020-06-12,112208528.24468684
2020-06-13,115951097.54610994
2020-06-14,115951097.54610994
2020-06-15,115951097.54610994
2020-06-16,115951097.54610994
2020-06-17,110570811.73739882
2020-06-18,110570811.73739882
2020-06-19,110570811.73739882
2020-06-20,110570811.73739882
2020-06-21,105875824.18477464
2020-06-22,105875824.18477464
2020-06-23,105875824.18477464
2020-06-24,105875824.18477464
2020-06-25,110861798.94428022
2020-06-26,110861798.94428022
2020-06-27,110861798.94428022
2020-06-28,110861798.94428022
2020-06-29,115793972.0014575
2020-06-30,115793972.0014575
2020-07-01,115793972.0014575
2020-07-02,115793972.0014575
2020-07-03,119940130.74771547
2020-07-04,119940130.74771547
2020-07-05,119940130.74771547
2020-07-06,119940130.74771547
2020-07-07,124421541.56999876
2020-07-08,124421541.56999876
2020-07-09,124421541.56999876
2020-07-10,124421541.56999876
2020-07-11,124533213.70598333
2020-07-12,124533213.70598333
2020-07-13,124533213.70598333
2020-07-14,124533213.70598333
