Time,Confirmed_Transaction
2020-11-14,272079
2020-11-15,248137
2020-11-16,312340
2020-11-17,350945
2020-11-18,362407
2020-11-19,309724
2020-11-20,346562
2020-11-21,308830
2020-11-22,273653
2020-11-23,301519
2020-11-24,330918
2020-11-25,362628
2020-11-26,321713
2020-11-27,323696
2020-11-28,292638
2020-11-29,259705
2020-11-30,262264
2020-12-01,378285
2020-12-02,327335
2020-12-03,343706
2020-12-04,315591
2020-12-05,283933
2020-12-06,256611
2020-12-07,305857
2020-12-08,329557
2020-12-09,323845
2020-12-10,311527
2020-12-11,304342
2020-12-12,296177
2020-12-13,274709
2020-12-14,313940
2020-12-15,322798
2020-12-16,313973
2020-12-17,308001
2020-12-18,377227
2020-12-19,339766
2020-12-20,282293
2020-12-21,274086
2020-12-22,322307
2020-12-23,337585
2020-12-24,271363
2020-12-25,298020
2020-12-26,277615
2020-12-27,304240
2020-12-28,314503
2020-12-29,334580
2020-12-30,340919
2020-12-31,338444
2021-01-01,261318
2021-01-02,297595
2021-01-03,359641
2021-01-04,370865
2021-01-05,355008
2021-01-06,398455
2021-01-07,402123
2021-01-08,358440
2021-01-09,318922
2021-01-10,332604
2021-01-11,333441
2021-01-12,336350
2021-01-13,320071
2021-01-14,338553
2021-01-15,345053
2021-01-16,308421
2021-01-17,268872
2021-01-18,313873
2021-01-19,326366
2021-01-20,315516
2021-01-21,288464
2021-01-22,326671
2021-01-23,303320
2021-01-24,254109
2021-01-25,312958
2021-01-26,335923
2021-01-27,323598
2021-01-28,325159
2021-01-29,339577
2021-01-30,313065
2021-01-31,287082
2021-02-01,283467
2021-02-02,363397
2021-02-03,345764
2021-02-04,367536
2021-02-05,360061
2021-02-06,328082
2021-02-07,286807
2021-02-08,340919
2021-02-09,359788
2021-02-10,340736
2021-02-11,301861
2021-02-12,347247
2021-02-13,333184
2021-02-14,297041
2021-02-15,312281
2021-02-16,293716
2021-02-17,318209
2021-02-18,317446
2021-02-19,340244
2021-02-20,321732
2021-02-21,272006
2021-02-22,284119
2021-02-23,288011
2021-02-24,354258
2021-02-25,328850
2021-02-26,305149
2021-02-27,322758
2021-02-28,252499
2021-03-01,278708
2021-03-02,340722
2021-03-03,332985
2021-03-04,290966
2021-03-05,315193
2021-03-06,288073
2021-03-07,259265
2021-03-08,294249
2021-03-09,299423
2021-03-10,342661
2021-03-11,293471
2021-03-12,320069
2021-03-13,276253
2021-03-14,305716
2021-03-15,295380
2021-03-16,319854
2021-03-17,290856
2021-03-18,335857
2021-03-19,315088
2021-03-20,281882
2021-03-21,240660
2021-03-22,295471
2021-03-23,316687
2021-03-24,301818
2021-03-25,320449
2021-03-26,293636
2021-03-27,286113
2021-03-28,244181
2021-03-29,307500
2021-03-30,323613
2021-03-31,330775
2021-04-01,315091
2021-04-02,302587
2021-04-03,278911
2021-04-04,247000
2021-04-05,289931
2021-04-06,310254
2021-04-07,318898
2021-04-08,280374
2021-04-09,322101
2021-04-10,300140
2021-04-11,254567
2021-04-12,291473
2021-04-13,310996
2021-04-14,295564
2021-04-15,358905
2021-04-16,218612
2021-04-17,195677
2021-04-18,276174
2021-04-19,207290
2021-04-20,280365
2021-04-21,226747
2021-04-22,269958
2021-04-23,296653
2021-04-24,291934
2021-04-25,241657
2021-04-26,241837
2021-04-27,297541
2021-04-28,276370
2021-04-29,256358
2021-04-30,292939
2021-05-01,260173
2021-05-02,235137
2021-05-03,288071
2021-05-04,300350
2021-05-05,309762
2021-05-06,310841
2021-05-07,306397
2021-05-08,275777
2021-05-09,246707
2021-05-10,305887
2021-05-11,309496
2021-05-12,301570
2021-05-13,274151
2021-05-14,267317
2021-05-15,231360
2021-05-16,219486
2021-05-17,252917
2021-05-18,220564
2021-05-19,264932
2021-05-20,226451
2021-05-21,225921
2021-05-22,221219
2021-05-23,195260
2021-05-24,236897
2021-05-25,232254
2021-05-26,228063
2021-05-27,217523
2021-05-28,217451
2021-05-29,192912
2021-05-30,182281
2021-05-31,229620
2021-06-01,231423
2021-06-02,252343
2021-06-03,253523
2021-06-04,235300
2021-06-05,192819
2021-06-06,188480
2021-06-07,237064
2021-06-08,245071
2021-06-09,213689
2021-06-10,252966
2021-06-11,212379
2021-06-12,223896
2021-06-13,182420
2021-06-14,248537
2021-06-15,242092
2021-06-16,254125
2021-06-17,236736
2021-06-18,224077
2021-06-19,182467
2021-06-20,168027
2021-06-21,208474
2021-06-22,196802
2021-06-23,233460
2021-06-24,226845
2021-06-25,223011
2021-06-26,180868
2021-06-27,123967
2021-06-28,215492
2021-06-29,207236
2021-06-30,217133
2021-07-01,232056
2021-07-02,189904
2021-07-03,234315
2021-07-04,169312
2021-07-05,223372
2021-07-06,232857
2021-07-07,220912
2021-07-08,228850
2021-07-09,223467
2021-07-10,193966
2021-07-11,160653
2021-07-12,225239
2021-07-13,227411
2021-07-14,235584
2021-07-15,224713
2021-07-16,223179
2021-07-17,181727
2021-07-18,163158
2021-07-19,228590
2021-07-20,228207
2021-07-21,237007
2021-07-22,223683
2021-07-23,234138
2021-07-24,196325
2021-07-25,172110
2021-07-26,269826
2021-07-27,251334
2021-07-28,255513
2021-07-29,261353
2021-07-30,250833
2021-07-31,204354
2021-08-01,190234
2021-08-02,236019
2021-08-03,246833
2021-08-04,237723
2021-08-05,249454
2021-08-06,258639
2021-08-07,207621
2021-08-08,197270
2021-08-09,254532
2021-08-10,259626
2021-08-11,261571
2021-08-12,252677
2021-08-13,256053
2021-08-14,211657
2021-08-15,181221
2021-08-16,270372
2021-08-17,254546
2021-08-18,247197
2021-08-19,254656
2021-08-20,272396
2021-08-21,216018
2021-08-22,191939
2021-08-23,271010
2021-08-24,263660
2021-08-25,264966
2021-08-26,254481
2021-08-27,260937
2021-08-28,212867
2021-08-29,196139
2021-08-30,249956
2021-08-31,273720
2021-09-01,277500
2021-09-02,293611
2021-09-03,278164
2021-09-04,227677
2021-09-05,206820
2021-09-06,269949
2021-09-07,277913
2021-09-08,271871
2021-09-09,275020
2021-09-10,260963
2021-09-11,210848
2021-09-12,193569
2021-09-13,253041
2021-09-14,270910
2021-09-15,268455
2021-09-16,270023
2021-09-17,273808
2021-09-18,227894
2021-09-19,199632
2021-09-20,273371
2021-09-21,245996
2021-09-22,270233
2021-09-23,273598
2021-09-24,274940
2021-09-25,210070
2021-09-26,192460
2021-09-27,262162
2021-09-28,262395
2021-09-29,240916
2021-09-30,289577
2021-10-01,279255
2021-10-02,260972
2021-10-03,216090
2021-10-04,265740
2021-10-05,312571
2021-10-06,273475
2021-10-07,324741
2021-10-08,280844
2021-10-09,241705
2021-10-10,212316
2021-10-11,277496
2021-10-12,274993
2021-10-13,289461
2021-10-14,284115
2021-10-15,297755
2021-10-16,269680
2021-10-17,212511
2021-10-18,291260
2021-10-19,310438
2021-10-20,291740
2021-10-21,321169
2021-10-22,281476
2021-10-23,228432
2021-10-24,208278
2021-10-25,286798
2021-10-26,295695
2021-10-27,286086
2021-10-28,297884
2021-10-29,307314
2021-10-30,251998
2021-10-31,216741
2021-11-01,289324
2021-11-02,300911
2021-11-03,290879
2021-11-04,286047
2021-11-05,282446
2021-11-06,237201
2021-11-07,222930
2021-11-08,294064
2021-11-09,336872
2021-11-10,295892
2021-11-11,293052
2021-11-12,287476
2021-11-13,234794
2021-11-14,222847
2021-11-15,291313
2021-11-16,301154
2021-11-17,288569
2021-11-18,295608
2021-11-19,283868
2021-11-20,248520
2021-11-21,218828
2021-11-22,286930
2021-11-23,282832
2021-11-24,295032
2021-11-25,287824
2021-11-26,291679
2021-11-27,238622
2021-11-28,215317
2021-11-29,303388
2021-11-30,296340
2021-12-01,284941
2021-12-02,315565
2021-12-03,289452
2021-12-04,244342
2021-12-05,221615
2021-12-06,286268
2021-12-07,284544
2021-12-08,268196
2021-12-09,285532
2021-12-10,270853
2021-12-11,222133
2021-12-12,211066
2021-12-13,281785
2021-12-14,281921
2021-12-15,280841
2021-12-16,256019
2021-12-17,260119
2021-12-18,234236
2021-12-19,214374
2021-12-20,266803
