Time,hash_rate_via_BTC
2009-01-10,1.0652200634920637e-07
2009-01-14,2.521020816931218e-06
2009-01-18,5.58885459978836e-06
2009-01-22,5.681173671957674e-06
2009-01-26,6.270595440423281e-06
2009-01-30,6.419726249312168e-06
2009-02-03,5.8303044808465595e-06
2009-02-07,6.256392506243385e-06
2009-02-11,6.306102775873014e-06
2009-02-15,6.4126247822222205e-06
2009-02-19,6.178276368253967e-06
2009-02-23,5.972333822645502e-06
2009-02-27,5.539144330158728e-06
2009-03-03,5.318998850370366e-06
2009-03-07,5.31189738328042e-06
2009-03-11,5.475231126349206e-06
2009-03-15,5.581753132698413e-06
2009-03-19,5.7805942112169315e-06
2009-03-23,5.446825257989416e-06
2009-03-27,5.368709119999998e-06
2009-03-31,5.681173671957671e-06
2009-04-04,5.745086875767196e-06
2009-04-08,5.652767803597883e-06
2009-04-12,5.475231126349203e-06
2009-04-16,5.631463402328041e-06
2009-04-20,5.9155220859259255e-06
2009-04-24,5.65986927068783e-06
2009-04-28,5.489434060529098e-06
2009-05-02,5.901319151746028e-06
2009-05-06,6.1711749011640176e-06
2009-05-10,5.958130888465606e-06
2009-05-14,5.375810587089946e-06
2009-05-18,6.22088517079365e-06
2009-05-22,5.6740722048677226e-06
2009-05-26,4.1969670501587275e-06
2009-05-30,4.7082726806349176e-06
2009-06-03,5.098853370582007e-06
2009-06-07,3.5365306107936477e-06
2009-06-11,2.6488472245502603e-06
2009-06-15,4.097546510899466e-06
2009-06-19,3.891603965291e-06
2009-06-23,3.955517169100525e-06
2009-06-27,3.998125971640207e-06
2009-07-01,3.884502498201055e-06
2009-07-05,3.841893695661372e-06
2009-07-09,3.955517169100526e-06
2009-07-13,3.948415702010579e-06
2009-07-17,3.586240880423275e-06
2009-07-21,2.712760428359783e-06
2009-07-25,2.94000737523809e-06
2009-07-29,2.726963362539678e-06
2009-08-02,1.4344963521693078e-06
2009-08-06,1.725656502857139e-06
2009-08-10,3.6501540842327982e-06
2009-08-14,3.9200098336507866e-06
2009-08-18,2.535223751111106e-06
2009-08-22,9.94205392592588e-07
2009-08-26,9.800024584126937e-07
2009-08-30,2.0878313244444397e-06
2009-09-03,3.6075452816931178e-06
2009-09-07,3.6004438146031685e-06
2009-09-11,3.330588065185181e-06
2009-09-15,3.3731968677248628e-06
2009-09-19,3.55073354497354e-06
2009-09-23,3.4087042031745982e-06
2009-09-27,3.479718874074068e-06
2009-10-01,4.424213997037033e-06
2009-10-05,3.813487827301583e-06
2009-10-09,2.9400073752380908e-06
2009-10-13,3.2524719271957626e-06
2009-10-17,3.3731968677248645e-06
2009-10-21,3.7992848931216898e-06
2009-10-25,4.296387589417985e-06
2009-10-29,3.664357018412695e-06
2009-11-02,2.7056589612698375e-06
2009-11-06,2.4997164156613717e-06
2009-11-10,3.1459499208465565e-06
2009-11-14,3.4868203411640137e-06
2009-11-18,4.111749445079357e-06
2009-11-22,4.246677319788354e-06
2009-11-26,4.367402260317453e-06
2009-11-30,4.062039175449729e-06
2009-12-04,3.7921834260317393e-06
2009-12-08,3.898705432380946e-06
2009-12-12,4.914215226243378e-06
2009-12-16,5.333201784550256e-06
2009-12-20,7.328714036825387e-06
2009-12-24,9.0046602700529e-06
2009-12-28,8.074368081269836e-06
2010-01-01,8.159353166561084e-06
2010-01-05,8.792133081933148e-06
2010-01-09,9.727573007590926e-06
2010-01-13,9.602773288211253e-06
2010-01-17,9.86753867413524e-06
2010-01-21,8.71178443116339e-06
2010-01-25,9.388337902945232e-06
2010-01-29,1.1340670567432433e-05
2010-02-02,1.250521990275436e-05
2010-02-06,1.4437982669527958e-05
2010-02-10,1.8253511800987963e-05
2010-02-14,1.7758225000473506e-05
2010-02-18,2.089426746828766e-05
2010-02-22,2.5777133035741305e-05
2010-02-26,2.919862733223875e-05
2010-03-02,3.2136238786405124e-05
2010-03-06,3.281304626383943e-05
2010-03-10,3.225786426891313e-05
2010-03-14,3.215699754351375e-05
2010-03-18,2.992491497488779e-05
2010-03-22,3.365748501476627e-05
2010-03-26,4.036906605316363e-05
2010-03-30,4.27935475017676e-05
2010-04-03,4.626985768574903e-05
2010-04-07,4.906230400788289e-05
2010-04-11,5.54026735154342e-05
2010-04-15,6.909629973343362e-05
2010-04-19,8.135442541261119e-05
2010-04-23,8.771246358593417e-05
2010-04-27,8.984578932482146e-05
2010-05-01,9.305558638205024e-05
2010-05-05,9.164743883699296e-05
2010-05-09,9.12875664499574e-05
2010-05-13,8.622940843783983e-05
2010-05-17,7.527964228700304e-05
2010-05-21,8.80284334807102e-05
2010-05-25,0.0001112930602828
2010-05-29,0.0001209726118583
2010-06-02,0.00012736918443
2010-06-06,0.0001177838011399
2010-06-10,0.0001246289519075
2010-06-14,0.0001324974426128
2010-06-18,0.000135361619155
2010-06-22,0.0001391101925277
2010-06-26,0.0001474888448777
2010-06-30,0.0001561536973709
2010-07-04,0.0001722531531414
2010-07-08,0.0001839630601014
2010-07-12,0.0001979892782975
2010-07-16,0.0008051616205265
2010-07-20,0.002075005536812
2010-07-24,0.0016592308952327
2010-07-28,0.0019047134581419
2010-08-01,0.0021424543545585
2010-08-05,0.002561519990246
2010-08-09,0.0028924219591447
2010-08-13,0.0033161419996685
2010-08-17,0.0042219926631511
2010-08-21,0.0041489626631502
2010-08-25,0.0045247569242313
2010-08-29,0.0054182915408394
2010-09-02,0.0052493097350025
2010-09-06,0.0050998602007426
2010-09-10,0.0051684818920001
2010-09-14,0.0056449366806124
2010-09-18,0.0065711618690904
2010-09-22,0.0081046920966608
