Time,Transaction_fee
2020-01-02,0.31362859357195
2020-01-03,0.31362859357195
2020-01-04,0.31362859357195
2020-01-05,0.31362859357195
2020-01-06,0.31362859357195
2020-01-07,0.31362859357195
2020-01-08,0.797559971333301
2020-01-09,0.797559971333301
2020-01-10,0.797559971333301
2020-01-11,0.797559971333301
2020-01-12,0.41553243857684
2020-01-13,0.41553243857684
2020-01-14,0.41553243857684
2020-01-15,0.41553243857684
2020-01-16,0.635615160118378
2020-01-17,0.635615160118378
2020-01-18,0.635615160118378
2020-01-19,0.635615160118378
2020-01-20,0.458515308810101
2020-01-21,0.458515308810101
2020-01-22,0.458515308810101
2020-01-23,0.458515308810101
2020-01-24,0.427680014249043
2020-01-25,0.427680014249043
2020-01-26,0.427680014249043
2020-01-27,0.427680014249043
2020-01-28,0.610528708582643
2020-01-29,0.610528708582643
2020-01-30,0.610528708582643
2020-01-31,0.610528708582643
2020-02-01,0.539328694210698
2020-02-02,0.539328694210698
2020-02-03,0.539328694210698
2020-02-04,0.539328694210698
2020-02-05,0.646349647840744
2020-02-06,0.646349647840744
2020-02-07,0.646349647840744
2020-02-08,0.646349647840744
2020-02-09,0.629750954674672
2020-02-10,0.629750954674672
2020-02-11,0.629750954674672
2020-02-12,0.629750954674672
2020-02-13,1.07157634286058
2020-02-14,1.07157634286058
2020-02-15,1.07157634286058
2020-02-16,1.07157634286058
2020-02-17,0.711064131334146
2020-02-18,0.711064131334146
2020-02-19,0.711064131334146
2020-02-20,0.711064131334146
2020-02-21,0.674567171104883
2020-02-22,0.674567171104883
2020-02-23,0.674567171104883
2020-02-24,0.674567171104883
2020-02-25,0.696835433033085
2020-02-26,0.696835433033085
2020-02-27,0.696835433033085
2020-02-28,0.696835433033085
2020-02-29,0.523003183862084
2020-03-01,0.523003183862084
2020-03-02,0.523003183862084
2020-03-03,0.523003183862084
2020-03-04,0.586698423854668
2020-03-05,0.586698423854668
2020-03-06,0.586698423854668
2020-03-07,0.586698423854668
2020-03-08,0.458046801973722
2020-03-09,0.458046801973722
2020-03-10,0.458046801973722
2020-03-11,0.458046801973722
2020-03-12,1.08868300434723
2020-03-13,1.08868300434723
2020-03-14,1.08868300434723
2020-03-15,1.08868300434723
2020-03-16,1.13799991384835
2020-03-17,1.13799991384835
2020-03-18,1.13799991384835
2020-03-19,1.13799991384835
2020-03-20,1.78560484166505
2020-03-21,1.78560484166505
2020-03-22,1.78560484166505
2020-03-23,1.78560484166505
2020-03-24,1.0702667382949
2020-03-25,1.0702667382949
2020-03-26,1.0702667382949
2020-03-27,1.0702667382949
2020-03-28,0.740414420784793
2020-03-29,0.740414420784793
2020-03-30,0.740414420784793
2020-03-31,0.740414420784793
2020-04-01,0.595457236225901
2020-04-02,0.595457236225901
2020-04-03,0.595457236225901
2020-04-04,0.595457236225901
2020-04-05,0.38605682483986
2020-04-06,0.38605682483986
2020-04-07,0.38605682483986
2020-04-08,0.38605682483986
2020-04-09,0.594117983768802
2020-04-10,0.594117983768802
2020-04-11,0.594117983768802
2020-04-12,0.594117983768802
2020-04-13,0.390110704535921
2020-04-14,0.390110704535921
2020-04-15,0.390110704535921
2020-04-16,0.390110704535921
2020-04-17,0.634051209521079
2020-04-18,0.634051209521079
2020-04-19,0.634051209521079
2020-04-20,0.634051209521079
2020-04-21,0.515074176133559
2020-04-22,0.515074176133559
2020-04-23,0.515074176133559
2020-04-24,0.515074176133559
2020-04-25,0.74743033347111
2020-04-26,0.74743033347111
2020-04-27,0.74743033347111
2020-04-28,0.74743033347111
2020-04-29,1.30320406784667
2020-04-30,1.30320406784667
2020-05-01,1.30320406784667
2020-05-02,1.30320406784667
2020-05-03,1.82151343648637
2020-05-04,1.82151343648637
2020-05-05,1.82151343648637
2020-05-06,1.82151343648637
2020-05-07,2.45777629001632
2020-05-08,2.45777629001632
2020-05-09,2.45777629001632
2020-05-10,2.45777629001632
2020-05-11,2.54708041668451
2020-05-12,2.54708041668451
2020-05-13,2.54708041668451
2020-05-14,2.54708041668451
2020-05-15,4.95503458023075
2020-05-16,4.95503458023075
2020-05-17,4.95503458023075
2020-05-18,4.95503458023075
2020-05-19,6.42914180341742
2020-05-20,6.42914180341742
2020-05-21,6.42914180341742
2020-05-22,6.42914180341742
2020-05-23,3.69219349697898
2020-05-24,3.69219349697898
2020-05-25,3.69219349697898
2020-05-26,3.69219349697898
2020-05-27,2.36918688128054
2020-05-28,2.36918688128054
2020-05-29,2.36918688128054
2020-05-30,2.36918688128054
2020-05-31,2.2550053508218
2020-06-01,2.2550053508218
2020-06-02,2.2550053508218
2020-06-03,2.2550053508218
2020-06-04,1.90321315927668
2020-06-05,1.90321315927668
2020-06-06,1.90321315927668
2020-06-07,1.90321315927668
2020-06-08,1.27630329010085
2020-06-09,1.27630329010085
2020-06-10,1.27630329010085
2020-06-11,1.27630329010085
2020-06-12,0.88455687970373
2020-06-13,0.88455687970373
2020-06-14,0.88455687970373
2020-06-15,0.88455687970373
2020-06-16,1.40363451252628
2020-06-17,1.40363451252628
2020-06-18,1.40363451252628
2020-06-19,1.40363451252628
2020-06-20,0.981710394257909
2020-06-21,0.981710394257909
2020-06-22,0.981710394257909
2020-06-23,0.981710394257909
2020-06-24,1.27653907153377
2020-06-25,1.27653907153377
2020-06-26,1.27653907153377
2020-06-27,1.27653907153377
2020-06-28,0.673697335950307
2020-06-29,0.673697335950307
2020-06-30,0.673697335950307
2020-07-01,0.673697335950307
2020-07-02,1.50889758486723
2020-07-03,1.50889758486723
2020-07-04,1.50889758486723
