Time,block_size
2020-01-02,0.79468355952381
2020-01-03,0.79468355952381
2020-01-04,0.79468355952381
2020-01-05,0.79468355952381
2020-01-06,0.79468355952381
2020-01-07,0.79468355952381
2020-01-08,1.0634908943662
2020-01-09,1.0634908943662
2020-01-10,1.0634908943662
2020-01-11,1.0634908943662
2020-01-12,0.825020880794702
2020-01-13,0.825020880794702
2020-01-14,0.825020880794702
2020-01-15,0.825020880794702
2020-01-16,0.983502176100629
2020-01-17,0.983502176100629
2020-01-18,0.983502176100629
2020-01-19,0.983502176100629
2020-01-20,0.991580940789473
2020-01-21,0.991580940789473
2020-01-22,0.991580940789473
2020-01-23,0.991580940789473
2020-01-24,1.03286961184211
2020-01-25,1.03286961184211
2020-01-26,1.03286961184211
2020-01-27,1.03286961184211
2020-01-28,1.2047869084507
2020-01-29,1.2047869084507
2020-01-30,1.2047869084507
2020-01-31,1.2047869084507
2020-02-01,0.962483086092715
2020-02-02,0.962483086092715
2020-02-03,0.962483086092715
2020-02-04,0.962483086092715
2020-02-05,1.08475906289308
2020-02-06,1.08475906289308
2020-02-07,1.08475906289308
2020-02-08,1.08475906289308
2020-02-09,0.951914071895424
2020-02-10,0.951914071895424
2020-02-11,0.951914071895424
2020-02-12,0.951914071895424
2020-02-13,1.22948190070922
2020-02-14,1.22948190070922
2020-02-15,1.22948190070922
2020-02-16,1.22948190070922
2020-02-17,1.02471081528662
2020-02-18,1.02471081528662
2020-02-19,1.02471081528662
2020-02-20,1.02471081528662
2020-02-21,1.0670976038961
2020-02-22,1.0670976038961
2020-02-23,1.0670976038961
2020-02-24,1.0670976038961
2020-02-25,1.06456358333333
2020-02-26,1.06456358333333
2020-02-27,1.06456358333333
2020-02-28,1.06456358333333
2020-02-29,0.989318215827338
2020-03-01,0.989318215827338
2020-03-02,0.989318215827338
2020-03-03,0.989318215827338
2020-03-04,1.22606610179641
2020-03-05,1.22606610179641
2020-03-06,1.22606610179641
2020-03-07,1.22606610179641
2020-03-08,0.86939667721519
2020-03-09,0.86939667721519
2020-03-10,0.86939667721519
2020-03-11,0.86939667721519
2020-03-12,1.23511670198676
2020-03-13,1.23511670198676
2020-03-14,1.23511670198676
2020-03-15,1.23511670198676
2020-03-16,1.19345300840336
2020-03-17,1.19345300840336
2020-03-18,1.19345300840336
2020-03-19,1.19345300840336
2020-03-20,1.2644780733945
2020-03-21,1.2644780733945
2020-03-22,1.2644780733945
2020-03-23,1.2644780733945
2020-03-24,1.17028861363636
2020-03-25,1.17028861363636
2020-03-26,1.17028861363636
2020-03-27,1.17028861363636
2020-03-28,0.910426518518518
2020-03-29,0.910426518518518
2020-03-30,0.910426518518518
2020-03-31,0.910426518518518
2020-04-01,1.11369449019608
2020-04-02,1.11369449019608
2020-04-03,1.11369449019608
2020-04-04,1.11369449019608
2020-04-05,0.769681285714286
2020-04-06,0.769681285714286
2020-04-07,0.769681285714286
2020-04-08,0.769681285714286
2020-04-09,1.06938335714286
2020-04-10,1.06938335714286
2020-04-11,1.06938335714286
2020-04-12,1.06938335714286
2020-04-13,0.92931029239766
2020-04-14,0.92931029239766
2020-04-15,0.92931029239766
2020-04-16,0.92931029239766
2020-04-17,1.28623061417323
2020-04-18,1.28623061417323
2020-04-19,1.28623061417323
2020-04-20,1.28623061417323
2020-04-21,1.06824913422819
2020-04-22,1.06824913422819
2020-04-23,1.06824913422819
2020-04-24,1.06824913422819
2020-04-25,1.23961248529412
2020-04-26,1.23961248529412
2020-04-27,1.23961248529412
2020-04-28,1.23961248529412
2020-04-29,1.19593875172414
2020-04-30,1.19593875172414
2020-05-01,1.19593875172414
2020-05-02,1.19593875172414
2020-05-03,1.19645580952381
2020-05-04,1.19645580952381
2020-05-05,1.19645580952381
2020-05-06,1.19645580952381
2020-05-07,1.31399202040816
2020-05-08,1.31399202040816
2020-05-09,1.31399202040816
2020-05-10,1.31399202040816
2020-05-11,1.28364698089172
2020-05-12,1.28364698089172
2020-05-13,1.28364698089172
2020-05-14,1.28364698089172
2020-05-15,1.272443528
2020-05-16,1.272443528
2020-05-17,1.272443528
2020-05-18,1.272443528
2020-05-19,1.33328306086957
2020-05-20,1.33328306086957
2020-05-21,1.33328306086957
2020-05-22,1.33328306086957
2020-05-23,1.27885055462185
2020-05-24,1.27885055462185
2020-05-25,1.27885055462185
2020-05-26,1.27885055462185
2020-05-27,1.34352728985507
2020-05-28,1.34352728985507
2020-05-29,1.34352728985507
2020-05-30,1.34352728985507
2020-05-31,1.05190532
2020-06-01,1.05190532
2020-06-02,1.05190532
2020-06-03,1.05190532
2020-06-04,1.23647156291391
2020-06-05,1.23647156291391
2020-06-06,1.23647156291391
2020-06-07,1.23647156291391
2020-06-08,1.15165127777778
2020-06-09,1.15165127777778
2020-06-10,1.15165127777778
2020-06-11,1.15165127777778
2020-06-12,1.3554732208589
2020-06-13,1.3554732208589
2020-06-14,1.3554732208589
2020-06-15,1.3554732208589
2020-06-16,1.22310094
2020-06-17,1.22310094
2020-06-18,1.22310094
2020-06-19,1.22310094
2020-06-20,1.10747741605839
2020-06-21,1.10747741605839
2020-06-22,1.10747741605839
2020-06-23,1.10747741605839
2020-06-24,1.28815984892086
2020-06-25,1.28815984892086
2020-06-26,1.28815984892086
2020-06-27,1.28815984892086
2020-06-28,0.9017818
2020-06-29,0.9017818
2020-06-30,0.9017818
2020-07-01,0.9017818
2020-07-02,1.13343739634146
2020-07-03,1.13343739634146
2020-07-04,1.13343739634146
2020-07-05,1.13343739634146
2020-07-06,1.2276441038961
2020-07-07,1.2276441038961
