Time,Mempool_count
2020-01-02,1716.7447916666667
2020-01-03,1716.7447916666667
2020-01-04,3118.8645833333335
2020-01-05,3118.8645833333335
2020-01-06,4644.067708333333
2020-01-07,4644.067708333333
2020-01-08,8607.5
2020-01-09,8607.5
2020-01-10,4564.328125
2020-01-11,4564.328125
2020-01-12,4564.328125
2020-01-13,2893.1666666666665
2020-01-14,2893.1666666666665
2020-01-15,7369.734375
2020-01-16,7369.734375
2020-01-17,3413.4479166666665
2020-01-18,3413.4479166666665
2020-01-19,6051.838541666667
2020-01-20,6051.838541666667
2020-01-21,6422.932291666667
2020-01-22,6422.932291666667
2020-01-23,3551.2760416666665
2020-01-24,3551.2760416666665
2020-01-25,3551.2760416666665
2020-01-26,2444.6666666666665
2020-01-27,2444.6666666666665
2020-01-28,15803.401041666666
2020-01-29,15803.401041666666
2020-01-30,4953.916666666667
2020-01-31,4953.916666666667
2020-02-01,5840.5
2020-02-02,5840.5
2020-02-03,4866.5
2020-02-04,4866.5
2020-02-05,5065.286458333333
2020-02-06,5065.286458333333
2020-02-07,5065.286458333333
2020-02-08,10749.479166666666
2020-02-09,10749.479166666666
2020-02-10,3014.5729166666665
2020-02-11,3014.5729166666665
2020-02-12,11413.421875
2020-02-13,11413.421875
2020-02-14,7342.380208333333
2020-02-15,7342.380208333333
2020-02-16,3257.2552083333335
2020-02-17,3257.2552083333335
2020-02-18,3257.2552083333335
2020-02-19,5418.895833333333
2020-02-20,5418.895833333333
2020-02-21,7749.786458333333
2020-02-22,7749.786458333333
2020-02-23,3485.734375
2020-02-24,3485.734375
2020-02-25,6378.010416666667
2020-02-26,6378.010416666667
2020-02-27,8190.260416666667
2020-02-28,8190.260416666667
2020-02-29,3889.1510416666665
2020-03-01,3889.1510416666665
2020-03-02,3889.1510416666665
2020-03-03,9078.119791666666
2020-03-04,9078.119791666666
2020-03-05,4895.53125
2020-03-06,4895.53125
2020-03-07,10179.375
2020-03-08,10179.375
2020-03-09,3196.9739583333335
2020-03-10,3196.9739583333335
2020-03-11,11281.505208333334
2020-03-12,11281.505208333334
2020-03-13,33208.583333333336
2020-03-14,33208.583333333336
2020-03-15,33208.583333333336
2020-03-16,4849.067708333333
2020-03-17,4849.067708333333
2020-03-18,10000.354166666666
2020-03-19,10000.354166666666
2020-03-20,26211.510416666668
2020-03-21,26211.510416666668
2020-03-22,3278.9166666666665
2020-03-23,3278.9166666666665
2020-03-24,7789.286458333333
2020-03-25,7789.286458333333
2020-03-26,8263.182291666666
2020-03-27,8263.182291666666
2020-03-28,8263.182291666666
2020-03-29,3025.8802083333335
2020-03-30,3025.8802083333335
2020-03-31,3926.7760416666665
2020-04-01,3926.7760416666665
2020-04-02,3799.8072916666665
2020-04-03,3799.8072916666665
2020-04-04,5590.901041666667
2020-04-05,5590.901041666667
2020-04-06,4719.703125
2020-04-07,4719.703125
2020-04-08,5127.203125
2020-04-09,5127.203125
2020-04-10,5127.203125
2020-04-11,3115.1041666666665
2020-04-12,3115.1041666666665
2020-04-13,2675.9791666666665
2020-04-14,2675.9791666666665
2020-04-15,8800.453125
2020-04-16,8800.453125
2020-04-17,5468.328125
2020-04-18,5468.328125
2020-04-19,2928.15625
2020-04-20,2928.15625
2020-04-21,5076.072916666667
2020-04-22,5076.072916666667
2020-04-23,5076.072916666667
2020-04-24,12513.447916666666
2020-04-25,12513.447916666666
2020-04-26,5139.171875
2020-04-27,5139.171875
2020-04-28,7090.9375
2020-04-29,7090.9375
2020-04-30,37892.5625
2020-05-01,37892.5625
2020-05-02,21370.838541666668
2020-05-03,21370.838541666668
2020-05-04,5685.302083333333
2020-05-05,5685.302083333333
2020-05-06,5685.302083333333
2020-05-07,7548.0625
2020-05-08,7548.0625
2020-05-09,27460.744791666668
2020-05-10,27460.744791666668
2020-05-11,6597.880208333333
2020-05-12,6597.880208333333
2020-05-13,16654.786458333332
2020-05-14,16654.786458333332
2020-05-15,68599.94270833333
2020-05-16,68599.94270833333
2020-05-17,31877.197916666668
2020-05-18,31877.197916666668
2020-05-19,31877.197916666668
2020-05-20,51994.276041666664
2020-05-21,51994.276041666664
2020-05-22,44608.520833333336
2020-05-23,44608.520833333336
2020-05-24,20901.802083333332
2020-05-25,20901.802083333332
2020-05-26,17696.541666666668
2020-05-27,17696.541666666668
2020-05-28,16004.453125
2020-05-29,16004.453125
2020-05-30,6352.723958333333
2020-05-31,6352.723958333333
2020-06-01,6352.723958333333
2020-06-02,9328.5
2020-06-03,9328.5
2020-06-04,14260.036458333334
2020-06-05,14260.036458333334
2020-06-06,3563.53125
2020-06-07,3563.53125
2020-06-08,4075.71875
2020-06-09,4075.71875
2020-06-10,4940.921875
2020-06-11,4940.921875
2020-06-12,5286.65625
2020-06-13,5286.65625
2020-06-14,5286.65625
2020-06-15,2224.21875
2020-06-16,2224.21875
2020-06-17,14250.916666666666
2020-06-18,14250.916666666666
2020-06-19,25330.427083333332
2020-06-20,25330.427083333332
2020-06-21,3183.5885416666665
2020-06-22,3183.5885416666665
2020-06-23,14111.005208333334
2020-06-24,14111.005208333334
2020-06-25,8821.229166666666
2020-06-26,8821.229166666666
2020-06-27,8821.229166666666
2020-06-28,5535.322916666667
2020-06-29,5535.322916666667
2020-06-30,9113.84375
2020-07-01,9113.84375
2020-07-02,11053.473958333334
2020-07-03,11053.473958333334
2020-07-04,7642.130208333333
2020-07-05,7642.130208333333
2020-07-06,4898.161458333333
2020-07-07,4898.161458333333
2020-07-08,12140.197916666666
2020-07-09,12140.197916666666
2020-07-10,12140.197916666666
