Time,Confirmed_Transaction
2020-08-21,333879.0
2020-08-22,333879.0
2020-08-23,288728.0
2020-08-24,288728.0
2020-08-25,288728.0
2020-08-26,288728.0
2020-08-27,328157.0
2020-08-28,328157.0
2020-08-29,328157.0
2020-08-30,328157.0
2020-08-31,302920.0
2020-09-01,302920.0
2020-09-02,302920.0
2020-09-03,302920.0
2020-09-04,298286.0
2020-09-05,298286.0
2020-09-06,298286.0
2020-09-07,298286.0
2020-09-08,332668.0
2020-09-09,332668.0
2020-09-10,332668.0
2020-09-11,332668.0
2020-09-12,300152.0
2020-09-13,300152.0
2020-09-14,300152.0
2020-09-15,300152.0
2020-09-16,342609.0
2020-09-17,342609.0
2020-09-18,342609.0
2020-09-19,342609.0
2020-09-20,259095.0
2020-09-21,259095.0
2020-09-22,259095.0
2020-09-23,259095.0
2020-09-24,316552.0
2020-09-25,316552.0
2020-09-26,316552.0
2020-09-27,316552.0
2020-09-28,295476.0
2020-09-29,295476.0
2020-09-30,295476.0
2020-10-01,295476.0
2020-10-02,315443.0
2020-10-03,315443.0
2020-10-04,315443.0
2020-10-05,315443.0
2020-10-06,317922.0
2020-10-07,317922.0
2020-10-08,317922.0
2020-10-09,317922.0
2020-10-10,298486.0
2020-10-11,298486.0
2020-10-12,298486.0
2020-10-13,298486.0
2020-10-14,314541.0
2020-10-15,314541.0
2020-10-16,314541.0
2020-10-17,314541.0
2020-10-18,231557.0
2020-10-19,231557.0
2020-10-20,231557.0
2020-10-21,231557.0
2020-10-22,339087.0
2020-10-23,339087.0
2020-10-24,339087.0
2020-10-25,339087.0
2020-10-26,252494.0
2020-10-27,252494.0
2020-10-28,252494.0
2020-10-29,252494.0
2020-10-30,268364.0
2020-10-31,268364.0
2020-11-01,268364.0
2020-11-02,268364.0
2020-11-03,331673.0
2020-11-04,331673.0
2020-11-05,331673.0
2020-11-06,331673.0
2020-11-07,270901.0
2020-11-08,270901.0
2020-11-09,270901.0
2020-11-10,270901.0
2020-11-11,322277.0
2020-11-12,322277.0
2020-11-13,322277.0
2020-11-14,322277.0
2020-11-15,252715.0
2020-11-16,252715.0
2020-11-17,252715.0
2020-11-18,252715.0
2020-11-19,311061.0
