Time,Mempool_size
2020-04-07,2576214.3229166665
2020-04-08,2917857.0208333335
2020-04-09,2917857.0208333335
2020-04-10,2917857.0208333335
2020-04-11,1665483.0885416667
2020-04-12,1665483.0885416667
2020-04-13,1213144.4427083333
2020-04-14,1213144.4427083333
2020-04-15,4798043.9375
2020-04-16,4798043.9375
2020-04-17,4341376.364583333
2020-04-18,4341376.364583333
2020-04-19,1386725.4479166667
2020-04-20,1386725.4479166667
2020-04-21,2356978.859375
2020-04-22,2356978.859375
2020-04-23,2356978.859375
2020-04-24,26725116.828125
2020-04-25,26725116.828125
2020-04-26,15269161.645833334
2020-04-27,15269161.645833334
2020-04-28,5451509.802083333
2020-04-29,5451509.802083333
2020-04-30,33989782.276041664
2020-05-01,33989782.276041664
2020-05-02,41123298.260416664
2020-05-03,41123298.260416664
2020-05-04,4163413.2447916665
2020-05-05,4163413.2447916665
2020-05-06,4163413.2447916665
2020-05-07,6376645.901041667
2020-05-08,6376645.901041667
2020-05-09,44795126.166666664
2020-05-10,44795126.166666664
2020-05-11,17192131.911458332
2020-05-12,17192131.911458332
2020-05-13,22959189.182291668
2020-05-14,22959189.182291668
2020-05-15,66939796.255208336
2020-05-16,66939796.255208336
2020-05-17,58583718.9375
2020-05-18,58583718.9375
2020-05-19,58583718.9375
2020-05-20,77388344.47916667
2020-05-21,77388344.47916667
2020-05-22,81543020.61458333
2020-05-23,81543020.61458333
2020-05-24,78571967.11458333
2020-05-25,78571967.11458333
2020-05-26,58566741.109375
2020-05-27,58566741.109375
2020-05-28,38604968.328125
2020-05-29,38604968.328125
2020-05-30,10327773.494791666
2020-05-31,10327773.494791666
2020-06-01,10327773.494791666
2020-06-02,6931117.083333333
2020-06-03,6931117.083333333
2020-06-04,17036556.770833332
2020-06-05,17036556.770833332
2020-06-06,1984254.7760416667
2020-06-07,1984254.7760416667
2020-06-08,2492963.984375
2020-06-09,2492963.984375
2020-06-10,3236767.265625
2020-06-11,3236767.265625
2020-06-12,16352616.651041666
2020-06-13,16352616.651041666
2020-06-14,16352616.651041666
2020-06-15,879571.0729166666
2020-06-16,879571.0729166666
2020-06-17,8002735.723958333
2020-06-18,8002735.723958333
2020-06-19,13074004.317708334
2020-06-20,13074004.317708334
2020-06-21,1502136.953125
2020-06-22,1502136.953125
2020-06-23,25401587.088541668
2020-06-24,25401587.088541668
2020-06-25,12921919.255208334
2020-06-26,12921919.255208334
